vessel_name,capacity_tons,speed_knots,cargo_weight_tons,cargo_ratio,distance_nm,weather_condition,fuel_type,duration_days,fuel_per_day_tons,total_trip_fuel_tons
Vessel B,7000,11.57,6207.4,0.887,3800.2,Moderate,Fuel A,13.68,28.68,392.43
Vessel B,7000,15.86,1809.6,0.259,2266.7,Moderate,Fuel B,5.95,51.57,307.06
Vessel C,4000,17.74,1326.7,0.332,3313.8,Moderate,Fuel B,7.78,58.88,458.21
Vessel D,9000,8.31,6119.2,0.68,378.8,Moderate,Fuel A,1.9,11.24,21.34
Vessel B,7000,10.37,3205.7,0.458,1208.1,Moderate,Green Fuel,4.86,19.37,94.05
Vessel B,7000,16.8,3611.7,0.516,3935.5,Calm,Green Fuel,9.76,79.82,779.21
Vessel B,7000,8.01,5913.0,0.845,384.5,Calm,Green Fuel,2.0,9.38,18.76
Vessel D,9000,14.79,4356.0,0.484,760.3,Calm,Fuel B,2.14,45.07,96.54
Vessel A,5000,18.62,3424.1,0.685,597.3,Moderate,Fuel B,1.34,113.03,151.11
Vessel D,9000,16.72,3296.3,0.366,3725.2,Moderate,Fuel A,9.29,72.9,676.88
Vessel D,9000,18.11,2361.6,0.262,2642.6,Calm,Fuel A,6.08,80.99,492.33
Vessel B,7000,21.7,2287.7,0.327,3871.7,Moderate,Fuel A,7.44,149.79,1113.76
Vessel B,7000,11.85,6371.4,0.91,3365.4,Calm,Fuel B,11.84,30.61,362.38
Vessel A,5000,14.72,2609.6,0.522,2201.1,Calm,Fuel B,6.23,39.08,243.48
Vessel B,7000,17.36,6846.7,0.978,1882.4,Moderate,Fuel B,4.52,93.91,424.29
Vessel D,9000,20.15,3474.5,0.386,989.8,Moderate,Fuel A,2.05,133.19,272.65
Vessel A,5000,18.33,1756.6,0.351,915.9,Moderate,Fuel A,2.08,86.24,179.51
Vessel C,4000,15.26,1927.4,0.482,3703.6,Calm,Green Fuel,10.11,48.26,488.02
Vessel B,7000,17.71,4140.2,0.591,667.1,Moderate,Fuel B,1.57,83.58,131.15
Vessel B,7000,14.59,5357.2,0.765,2653.9,Rough,Fuel A,7.58,63.62,482.15
Vessel B,7000,10.76,6302.0,0.9,2688.1,Moderate,Fuel A,10.41,25.06,260.84
Vessel C,4000,19.89,2336.4,0.584,3451.4,Calm,Fuel A,7.23,96.88,700.28
Vessel C,4000,17.44,2826.5,0.707,1333.7,Calm,Fuel B,3.19,71.93,229.2
Vessel A,5000,9.1,3109.2,0.622,2797.1,Moderate,Green Fuel,12.8,13.02,166.77
Vessel B,7000,21.82,4542.4,0.649,1275.0,Moderate,Green Fuel,2.43,219.96,535.54
Vessel B,7000,21.66,3003.1,0.429,293.8,Moderate,Green Fuel,0.57,171.23,96.78
Vessel D,9000,18.34,7650.8,0.85,2806.9,Calm,Fuel B,6.38,118.8,757.36
Vessel A,5000,12.22,3503.9,0.701,1737.2,Calm,Fuel B,5.92,24.26,143.7
Vessel D,9000,14.94,4195.7,0.466,1811.9,Calm,Green Fuel,5.05,52.86,267.11
Vessel C,4000,12.98,2451.6,0.613,3483.0,Calm,Fuel B,11.18,26.59,297.31
Vessel D,9000,18.0,3212.9,0.357,2681.9,Moderate,Fuel B,6.21,84.15,522.48
Vessel D,9000,14.57,4447.5,0.494,409.4,Calm,Green Fuel,1.17,52.71,61.72
Vessel A,5000,14.44,1773.8,0.355,3607.6,Calm,Fuel A,10.41,37.96,395.17
Vessel A,5000,20.05,1021.8,0.204,2629.2,Calm,Fuel A,5.46,81.28,444.05
Vessel C,4000,19.79,3233.9,0.808,641.8,Calm,Fuel A,1.35,122.29,165.23
Vessel A,5000,20.5,2834.6,0.567,3511.1,Moderate,Green Fuel,7.14,132.1,942.88
Vessel C,4000,21.95,3505.8,0.876,1599.5,Moderate,Green Fuel,3.04,189.49,575.39
Vessel D,9000,15.8,8053.0,0.895,2533.8,Rough,Green Fuel,6.68,113.6,758.87
Vessel B,7000,12.32,1512.3,0.216,2089.2,Moderate,Fuel A,7.07,23.9,168.93
Vessel B,7000,9.96,4447.4,0.635,1503.3,Calm,Green Fuel,6.29,16.6,104.4
Vessel C,4000,18.03,1598.8,0.4,3839.8,Rough,Fuel A,8.87,84.52,749.99
Vessel A,5000,19.3,1437.4,0.287,847.0,Calm,Fuel A,1.83,79.21,144.8
Vessel A,5000,9.02,4401.3,0.88,2262.9,Calm,Green Fuel,10.46,12.5,130.74
Vessel B,7000,21.6,2946.9,0.421,3796.2,Moderate,Fuel B,7.32,132.05,966.98
Vessel B,7000,15.86,2441.2,0.349,285.8,Calm,Fuel A,0.75,49.4,37.09
Vessel C,4000,18.77,2362.6,0.591,1109.0,Calm,Fuel B,2.46,84.7,208.46
Vessel C,4000,21.43,3779.5,0.945,2424.4,Moderate,Fuel B,4.71,142.38,671.24
Vessel D,9000,19.84,4878.0,0.542,653.2,Calm,Fuel A,1.37,122.0,167.33
Vessel D,9000,14.89,2063.7,0.229,3356.9,Calm,Fuel B,9.39,37.34,350.72
Vessel A,5000,10.69,1244.9,0.249,3043.9,Moderate,Fuel B,11.87,14.77,175.27
Vessel A,5000,11.54,4318.6,0.864,2376.2,Moderate,Green Fuel,8.58,30.95,265.64
Vessel D,9000,17.27,5147.0,0.572,2767.4,Moderate,Fuel A,6.68,81.95,547.26
Vessel D,9000,19.35,7095.7,0.788,2938.3,Moderate,Green Fuel,6.33,159.01,1006.17
Vessel C,4000,13.5,1894.5,0.474,3318.4,Rough,Fuel A,10.24,39.42,403.84
Vessel D,9000,16.71,6888.4,0.765,1050.4,Calm,Fuel B,2.62,77.83,203.82
Vessel D,9000,18.0,8399.8,0.933,1698.5,Moderate,Green Fuel,3.93,151.45,595.39
Vessel D,9000,11.11,7737.3,0.86,3787.2,Moderate,Fuel B,14.2,27.72,393.73
Vessel A,5000,18.15,4579.0,0.916,3279.7,Calm,Green Fuel,7.53,99.69,750.59
Vessel B,7000,11.94,5140.9,0.734,1387.7,Calm,Fuel A,4.84,26.63,129.01
Vessel C,4000,12.48,2944.8,0.736,1478.5,Calm,Green Fuel,4.94,29.1,143.61
Vessel C,4000,20.43,3489.9,0.872,1418.0,Moderate,Fuel A,2.89,134.1,387.72
Vessel A,5000,20.97,4846.5,0.969,550.6,Calm,Fuel A,1.09,147.49,161.38
Vessel B,7000,17.11,6382.2,0.912,628.2,Moderate,Fuel B,1.53,102.55,156.89
Vessel C,4000,14.84,2730.3,0.683,3383.9,Calm,Green Fuel,9.5,52.34,497.32
Vessel A,5000,12.66,2753.2,0.551,3072.7,Calm,Fuel A,10.11,27.89,282.13
Vessel A,5000,15.2,1800.6,0.36,3160.2,Calm,Fuel B,8.66,44.76,387.69
Vessel A,5000,18.55,3865.3,0.773,794.4,Moderate,Fuel A,1.78,110.14,196.58
Vessel B,7000,8.54,4880.2,0.697,1403.1,Moderate,Fuel A,6.85,10.91,74.71
Vessel A,5000,17.7,4483.9,0.897,863.5,Calm,Fuel A,2.03,90.58,184.15
Vessel C,4000,20.36,2489.0,0.622,3750.2,Moderate,Fuel B,7.67,107.29,823.44
Vessel A,5000,8.75,4750.2,0.95,2311.0,Moderate,Green Fuel,11.01,13.77,151.58
Vessel C,4000,9.31,3257.9,0.814,2559.1,Moderate,Fuel A,11.45,13.57,155.35
Vessel D,9000,20.34,3648.0,0.405,682.0,Moderate,Green Fuel,1.4,162.1,226.52
Vessel C,4000,13.8,3006.5,0.752,3987.4,Calm,Fuel A,12.04,39.2,471.9
Vessel B,7000,17.73,5856.4,0.837,3095.7,Calm,Fuel B,7.28,99.57,724.47
Vessel C,4000,8.22,1094.4,0.274,1100.9,Calm,Green Fuel,5.58,6.31,35.21
Vessel A,5000,10.02,3781.0,0.756,3945.0,Calm,Fuel A,16.4,15.25,250.03
Vessel B,7000,13.7,2393.5,0.342,3727.7,Calm,Fuel A,11.33,33.23,376.63
Vessel A,5000,21.07,3169.5,0.634,203.0,Moderate,Green Fuel,0.4,156.37,62.77
Vessel B,7000,12.78,6297.8,0.9,992.9,Moderate,Fuel B,3.24,38.09,123.28
Vessel D,9000,17.44,2761.0,0.307,1960.9,Rough,Green Fuel,4.69,105.29,493.32
Vessel A,5000,14.23,1185.7,0.237,2717.0,Calm,Fuel B,7.96,32.27,256.79
Vessel A,5000,20.45,3077.6,0.616,1195.7,Moderate,Fuel B,2.44,122.88,299.36
Vessel A,5000,16.44,3237.9,0.648,1687.8,Calm,Fuel A,4.28,67.54,288.98
Vessel A,5000,15.39,4151.7,0.83,2932.3,Rough,Fuel A,7.94,81.53,647.26
Vessel B,7000,14.58,6204.3,0.886,1470.0,Calm,Fuel A,4.2,54.4,228.54
Vessel A,5000,21.06,3529.9,0.706,3790.1,Calm,Green Fuel,7.5,152.58,1144.31
Vessel B,7000,13.59,6173.6,0.882,2409.4,Moderate,Fuel A,7.38,44.25,326.8
Vessel D,9000,16.45,8524.4,0.947,3452.1,Calm,Fuel B,8.74,84.18,736.02
Vessel A,5000,11.27,2053.9,0.411,3948.1,Calm,Fuel A,14.6,17.21,251.26
Vessel A,5000,21.87,1990.5,0.398,279.5,Moderate,Green Fuel,0.53,155.29,82.68
Vessel A,5000,13.81,3460.4,0.692,1073.7,Moderate,Fuel A,3.24,38.59,125.0
Vessel A,5000,17.15,1281.5,0.256,1648.4,Moderate,Fuel B,4.01,61.88,247.89
Vessel C,4000,18.01,2581.5,0.645,900.0,Rough,Green Fuel,2.08,100.35,208.92
Vessel D,9000,10.81,4777.0,0.531,2207.3,Calm,Fuel B,8.51,17.63,150.05
Vessel C,4000,14.38,2738.2,0.685,1990.1,Moderate,Fuel A,5.77,41.37,238.59
Vessel A,5000,8.94,2858.8,0.572,3492.4,Rough,Green Fuel,16.27,13.86,225.62
Vessel B,7000,9.66,1476.4,0.211,1150.3,Calm,Fuel A,4.96,10.76,53.4
Vessel A,5000,13.9,2642.1,0.528,3551.2,Calm,Fuel A,10.65,38.87,413.9
Vessel C,4000,8.77,1434.0,0.359,1402.2,Calm,Fuel A,6.66,7.14,47.54
Vessel C,4000,16.4,3284.8,0.821,2521.3,Moderate,Green Fuel,6.41,72.69,465.76
Vessel C,4000,15.61,2892.1,0.723,370.1,Calm,Fuel A,0.99,53.32,52.68
Vessel A,5000,15.18,3256.8,0.651,998.2,Moderate,Green Fuel,2.74,58.84,161.26
Vessel C,4000,21.23,2341.8,0.585,2113.6,Moderate,Fuel A,4.15,136.07,564.46
Vessel B,7000,14.76,6420.4,0.917,1778.7,Rough,Green Fuel,5.02,89.59,449.78
Vessel C,4000,16.08,1507.7,0.377,2018.9,Calm,Fuel A,5.23,47.82,250.21
Vessel D,9000,19.14,4642.4,0.516,2742.9,Moderate,Green Fuel,5.97,129.56,773.43
Vessel C,4000,15.52,957.8,0.239,2786.2,Calm,Fuel A,7.48,43.76,327.2
Vessel D,9000,21.61,2070.4,0.23,1190.5,Calm,Fuel A,2.3,121.37,278.63
Vessel A,5000,9.48,3514.2,0.703,2967.1,Calm,Fuel B,13.04,12.2,159.09
Vessel C,4000,15.14,2672.8,0.668,2340.4,Calm,Green Fuel,6.44,50.51,325.42
Vessel B,7000,20.62,2318.0,0.331,2574.8,Calm,Fuel A,5.2,114.95,598.12
Vessel A,5000,12.84,1685.6,0.337,417.1,Calm,Green Fuel,1.35,28.18,38.14
Vessel C,4000,19.57,3724.0,0.931,771.2,Rough,Green Fuel,1.64,161.12,264.54
Vessel D,9000,20.57,2725.3,0.303,324.6,Calm,Fuel B,0.66,111.3,73.19
Vessel B,7000,21.1,2710.4,0.387,814.2,Calm,Fuel A,1.61,125.95,202.49
Vessel A,5000,12.93,2643.2,0.529,2894.9,Calm,Fuel A,9.33,30.7,286.47
Vessel C,4000,16.62,3212.1,0.803,1427.7,Moderate,Fuel B,3.58,69.91,250.26
Vessel D,9000,19.74,6514.4,0.724,1396.4,Calm,Green Fuel,2.95,153.03,451.03
Vessel A,5000,21.46,3509.6,0.702,3652.1,Calm,Green Fuel,7.09,163.83,1161.9
Vessel B,7000,12.83,6949.9,0.993,1582.2,Calm,Green Fuel,5.14,41.4,212.64
Vessel D,9000,19.5,2464.9,0.274,3389.8,Moderate,Fuel B,7.24,118.25,856.73
Vessel C,4000,15.31,2084.9,0.521,2547.4,Calm,Fuel B,6.93,41.83,289.97
Vessel B,7000,18.12,2554.7,0.365,1759.9,Calm,Fuel B,4.05,73.89,299.01
Vessel A,5000,8.15,4106.2,0.821,1543.2,Rough,Green Fuel,7.89,11.27,88.95
Vessel B,7000,13.29,5845.8,0.835,576.1,Rough,Fuel A,1.81,55.06,99.4
Vessel B,7000,15.47,1695.4,0.242,355.7,Moderate,Fuel B,0.96,47.01,45.04
Vessel C,4000,9.43,3181.2,0.795,318.5,Rough,Green Fuel,1.41,17.57,24.72
Vessel D,9000,20.76,6497.9,0.722,1478.0,Moderate,Green Fuel,2.97,185.38,549.82
Vessel D,9000,17.0,4160.0,0.462,1707.6,Rough,Fuel B,4.19,90.58,379.12
Vessel C,4000,14.1,2127.5,0.532,1458.6,Moderate,Fuel A,4.31,40.63,175.13
Vessel A,5000,11.5,3438.1,0.688,3737.9,Moderate,Green Fuel,13.54,26.94,364.89
Vessel D,9000,10.99,2559.7,0.284,3812.3,Moderate,Green Fuel,14.45,22.13,319.71
Vessel C,4000,19.91,1535.0,0.384,1884.6,Calm,Fuel A,3.94,93.58,369.19
Vessel C,4000,12.48,3723.0,0.931,631.2,Moderate,Fuel B,2.11,32.6,68.68
Vessel D,9000,19.43,8915.5,0.991,3244.5,Calm,Green Fuel,6.96,145.93,1015.46
Vessel B,7000,10.76,4909.3,0.701,1359.8,Moderate,Fuel B,5.26,21.94,115.48
Vessel C,4000,8.25,2344.7,0.586,2978.2,Calm,Fuel B,15.04,6.85,102.94
Vessel A,5000,19.11,4957.4,0.991,2688.8,Moderate,Green Fuel,5.86,140.08,821.03
Vessel A,5000,12.73,1431.4,0.286,3495.9,Calm,Fuel A,11.44,25.03,286.31
Vessel B,7000,15.86,4061.7,0.58,441.4,Moderate,Fuel B,1.16,61.31,71.12
Vessel D,9000,16.62,6774.8,0.753,1778.9,Moderate,Fuel B,4.46,83.68,373.19
Vessel B,7000,21.31,1524.3,0.218,1419.6,Calm,Green Fuel,2.78,126.72,351.67
Vessel A,5000,11.38,3688.8,0.738,3783.5,Calm,Green Fuel,13.85,23.66,327.65
Vessel B,7000,20.18,2106.7,0.301,3858.6,Moderate,Green Fuel,7.97,130.32,1038.34
Vessel B,7000,14.88,5443.1,0.778,1580.1,Rough,Fuel B,4.42,70.45,311.71
Vessel C,4000,21.81,2781.9,0.695,2048.3,Moderate,Fuel B,3.91,151.34,592.12
Vessel C,4000,17.23,3711.1,0.928,2976.0,Rough,Fuel A,7.2,99.87,718.72
Vessel C,4000,10.87,1871.4,0.468,3518.9,Calm,Green Fuel,13.49,16.77,226.35
Vessel A,5000,17.73,1481.0,0.296,1403.4,Calm,Fuel B,3.3,58.72,193.62
Vessel D,9000,15.94,6721.9,0.747,3760.4,Calm,Fuel A,9.83,74.76,734.99
Vessel A,5000,13.69,4084.2,0.817,422.4,Moderate,Fuel A,1.29,42.2,54.27
Vessel D,9000,21.73,8471.1,0.941,1594.6,Rough,Fuel A,3.06,251.12,767.68
Vessel B,7000,15.88,3154.9,0.451,3729.2,Calm,Fuel B,9.79,52.51,513.77
Vessel A,5000,20.57,2399.6,0.48,3906.7,Moderate,Fuel B,7.91,125.26,991.28
Vessel C,4000,16.25,2480.5,0.62,2201.7,Calm,Fuel A,5.65,54.7,308.8
Vessel D,9000,15.67,6859.7,0.762,780.1,Moderate,Fuel B,2.07,71.05,147.35
Vessel A,5000,12.59,3641.5,0.728,1465.2,Moderate,Fuel B,4.85,30.01,145.47
Vessel A,5000,8.57,2563.0,0.513,240.5,Moderate,Fuel B,1.17,9.36,10.95
Vessel D,9000,11.46,8971.8,0.997,3927.9,Calm,Fuel A,14.28,31.81,454.28
Vessel D,9000,14.97,5227.3,0.581,3304.1,Rough,Green Fuel,9.2,79.72,733.27
Vessel C,4000,16.35,2735.4,0.684,2844.9,Moderate,Fuel A,7.25,63.6,460.99
Vessel C,4000,9.87,3634.2,0.909,2137.0,Moderate,Fuel B,9.02,15.61,140.77
Vessel C,4000,9.98,2748.2,0.687,295.5,Calm,Fuel A,1.23,14.4,17.78
Vessel C,4000,19.86,2212.1,0.553,3610.6,Calm,Fuel A,7.57,104.27,789.77
Vessel A,5000,21.57,3772.8,0.755,2179.3,Calm,Fuel A,4.21,155.82,655.91
Vessel A,5000,17.02,1113.3,0.223,2021.8,Rough,Green Fuel,4.95,81.02,400.96
Vessel B,7000,17.92,2603.2,0.372,878.8,Calm,Fuel B,2.04,69.96,142.93
Vessel C,4000,16.63,3955.0,0.989,2499.4,Moderate,Fuel B,6.26,70.35,440.55
Vessel B,7000,21.02,3535.9,0.505,3459.5,Calm,Fuel B,6.86,120.74,828.08
Vessel B,7000,12.78,4443.8,0.635,3336.2,Moderate,Fuel A,10.88,35.53,386.65
Vessel D,9000,17.86,5822.1,0.647,3028.6,Rough,Green Fuel,7.07,146.34,1034.02
Vessel A,5000,15.93,2593.6,0.519,1474.3,Calm,Green Fuel,3.86,61.26,236.27
Vessel A,5000,18.99,4286.3,0.857,301.4,Moderate,Green Fuel,0.66,137.41,90.86
Vessel D,9000,19.93,5748.5,0.639,1522.5,Calm,Fuel B,3.18,125.99,400.94
Vessel A,5000,15.43,1206.7,0.241,1574.7,Calm,Fuel A,4.25,43.82,186.32
Vessel A,5000,19.06,3473.4,0.695,2009.0,Calm,Fuel A,4.39,110.22,484.13
Vessel C,4000,13.56,3179.3,0.795,1316.3,Moderate,Fuel B,4.05,38.97,157.68
Vessel C,4000,13.93,2447.8,0.612,453.4,Calm,Green Fuel,1.36,35.18,47.71
Vessel A,5000,11.61,2966.1,0.593,2461.2,Rough,Fuel A,8.83,29.13,257.25
Vessel B,7000,21.57,5579.0,0.797,2395.1,Calm,Green Fuel,4.63,176.56,816.74
Vessel D,9000,14.3,7980.3,0.887,1404.6,Rough,Fuel A,4.09,72.54,296.91
Vessel B,7000,14.36,2572.0,0.367,452.6,Calm,Fuel A,1.31,39.56,51.94
Vessel D,9000,13.32,5029.1,0.559,3135.2,Rough,Green Fuel,9.81,52.82,518.05
Vessel C,4000,18.65,1279.6,0.32,2595.5,Moderate,Fuel B,5.8,80.89,469.07
Vessel B,7000,8.16,2129.9,0.304,2852.3,Calm,Green Fuel,14.56,6.35,92.54
Vessel A,5000,14.3,1088.5,0.218,472.9,Moderate,Green Fuel,1.38,39.18,53.98
Vessel C,4000,10.9,2892.9,0.723,2433.2,Moderate,Fuel A,9.3,18.82,175.15
Vessel B,7000,17.43,2044.1,0.292,3688.4,Moderate,Green Fuel,8.82,77.16,680.37
Vessel D,9000,9.98,6428.4,0.714,974.3,Calm,Fuel A,4.07,17.92,72.87
Vessel D,9000,11.79,7585.5,0.843,584.1,Rough,Fuel B,2.07,40.73,84.12
Vessel C,4000,15.28,1743.8,0.436,285.7,Calm,Fuel A,0.78,43.48,33.87
Vessel B,7000,9.19,5040.5,0.72,1689.4,Moderate,Green Fuel,7.66,15.69,120.11
Vessel A,5000,11.47,4711.2,0.942,335.2,Rough,Fuel A,1.22,33.84,41.21
Vessel A,5000,11.24,1724.9,0.345,1980.9,Rough,Fuel A,7.34,21.83,160.26
Vessel A,5000,20.14,2150.2,0.43,729.3,Calm,Fuel A,1.51,117.22,176.83
Vessel D,9000,21.61,2904.2,0.323,642.1,Moderate,Fuel A,1.24,162.22,200.83
Vessel D,9000,20.82,3873.1,0.43,1917.9,Calm,Fuel B,3.84,126.0,483.56
Vessel A,5000,20.93,2829.3,0.566,2058.7,Rough,Green Fuel,4.1,170.4,698.48
Vessel C,4000,10.19,2164.5,0.541,2213.6,Moderate,Fuel A,9.05,16.36,147.97
Vessel A,5000,20.73,1072.1,0.214,2392.5,Moderate,Fuel A,4.81,99.72,479.45
Vessel B,7000,12.53,2163.0,0.309,3536.8,Rough,Fuel B,11.76,35.33,415.42
Vessel B,7000,20.03,4731.1,0.676,1619.9,Calm,Green Fuel,3.37,146.65,494.14
Vessel D,9000,9.62,8779.4,0.975,2663.2,Rough,Green Fuel,11.54,22.46,259.14
Vessel D,9000,15.88,4367.7,0.485,3347.2,Calm,Green Fuel,8.78,60.28,529.32
Vessel A,5000,13.87,4861.6,0.972,1312.4,Moderate,Green Fuel,3.94,54.72,215.72
Vessel A,5000,14.27,2097.7,0.42,863.9,Calm,Fuel B,2.52,33.87,85.4
Vessel C,4000,11.76,3555.4,0.889,1449.4,Calm,Green Fuel,5.14,25.22,129.54
Vessel D,9000,11.78,7332.6,0.815,1961.5,Rough,Green Fuel,6.94,45.17,313.41
Vessel C,4000,9.93,3283.1,0.821,2748.8,Moderate,Green Fuel,11.53,18.46,212.91
Vessel C,4000,8.12,3768.1,0.942,2178.0,Calm,Fuel A,11.17,8.29,92.6
Vessel C,4000,8.02,2390.7,0.598,787.8,Moderate,Fuel B,4.09,6.31,25.83
Vessel C,4000,9.11,2361.7,0.59,1788.9,Calm,Fuel A,8.18,9.23,75.48
Vessel A,5000,13.93,3286.5,0.657,3811.4,Rough,Fuel B,11.4,53.49,609.83
Vessel D,9000,19.68,7558.3,0.84,1277.2,Calm,Fuel B,2.7,134.93,364.9
Vessel C,4000,14.54,1568.3,0.392,1755.1,Rough,Fuel B,5.03,48.27,242.76
Vessel C,4000,21.26,2415.6,0.604,3343.2,Rough,Fuel B,6.55,156.07,1022.64
Vessel A,5000,13.85,3186.5,0.637,1906.8,Moderate,Fuel A,5.73,39.87,228.66
Vessel D,9000,13.71,6488.5,0.721,1065.6,Moderate,Fuel B,3.24,47.13,152.64
Vessel B,7000,9.57,3868.3,0.553,1700.2,Moderate,Green Fuel,7.4,15.7,116.19
Vessel C,4000,13.77,914.0,0.228,2323.6,Moderate,Fuel B,7.03,30.47,214.24
Vessel B,7000,10.4,5061.1,0.723,3799.2,Calm,Green Fuel,15.22,20.02,304.56
Vessel B,7000,8.48,2354.1,0.336,2897.7,Moderate,Green Fuel,14.24,8.95,127.47
Vessel D,9000,13.58,8311.7,0.924,869.5,Rough,Green Fuel,2.67,62.16,165.79
Vessel D,9000,13.83,6469.4,0.719,914.6,Calm,Green Fuel,2.76,53.19,146.53
Vessel D,9000,8.34,7493.1,0.833,222.5,Calm,Fuel B,1.11,9.87,10.97
Vessel D,9000,14.6,5928.5,0.659,2584.5,Rough,Fuel B,7.38,65.39,482.47
Vessel B,7000,11.32,2870.7,0.41,3481.5,Moderate,Green Fuel,12.81,22.38,286.73
Vessel A,5000,19.28,2158.0,0.432,3022.3,Moderate,Fuel A,6.53,104.86,684.79
Vessel C,4000,19.83,2481.4,0.62,3622.5,Moderate,Fuel A,7.61,118.61,902.7
Vessel B,7000,11.08,3575.8,0.511,1734.5,Rough,Green Fuel,6.52,29.98,195.51
Vessel D,9000,10.99,6532.7,0.726,3024.7,Moderate,Green Fuel,11.47,27.34,313.41
Vessel D,9000,11.94,5260.8,0.585,541.3,Moderate,Green Fuel,1.89,29.88,56.44
Vessel A,5000,12.03,1641.3,0.328,404.9,Calm,Green Fuel,1.4,24.21,33.97
Vessel D,9000,18.65,5261.2,0.585,2516.9,Rough,Green Fuel,5.62,181.88,1022.78
Vessel A,5000,10.76,4109.2,0.822,3447.5,Rough,Fuel B,13.35,23.91,319.27
Vessel A,5000,13.85,3946.6,0.789,2188.0,Calm,Fuel B,6.58,37.17,244.73
Vessel A,5000,11.49,3361.5,0.672,683.3,Calm,Fuel A,2.48,20.54,50.92
Vessel A,5000,19.85,2961.8,0.592,2878.2,Calm,Green Fuel,6.04,117.55,710.21
Vessel D,9000,21.63,3460.6,0.385,743.7,Moderate,Green Fuel,1.43,170.46,244.18
Vessel A,5000,14.1,2809.1,0.562,2982.5,Calm,Fuel B,8.81,39.15,345.01
Vessel A,5000,9.59,2366.1,0.473,2584.7,Rough,Fuel B,11.23,13.47,151.31
Vessel D,9000,9.92,5448.7,0.605,3104.4,Calm,Fuel A,13.04,14.72,191.94
Vessel D,9000,11.62,5261.7,0.585,3060.7,Rough,Fuel B,10.98,30.21,331.72
Vessel A,5000,8.57,1491.6,0.298,3413.8,Calm,Green Fuel,16.6,7.75,128.61
Vessel B,7000,16.68,3048.0,0.435,1557.5,Calm,Green Fuel,3.89,62.61,243.55
Vessel A,5000,16.78,2206.0,0.441,3538.4,Rough,Green Fuel,8.79,92.29,810.76
Vessel B,7000,13.83,3558.4,0.508,2417.0,Moderate,Fuel A,7.28,42.54,309.66
Vessel B,7000,15.16,6684.0,0.955,1311.3,Calm,Green Fuel,3.6,67.25,242.36
Vessel D,9000,20.88,2153.9,0.239,2327.3,Moderate,Fuel B,4.64,124.79,579.5
Vessel B,7000,17.2,3858.6,0.551,2197.2,Calm,Fuel A,5.32,73.96,393.64
Vessel A,5000,8.41,3759.3,0.752,3979.3,Moderate,Fuel B,19.72,10.74,211.9
Vessel B,7000,16.71,4232.2,0.605,2539.4,Rough,Fuel B,6.33,82.98,525.51
Vessel B,7000,18.13,6063.0,0.866,2829.0,Calm,Fuel A,6.5,112.0,728.18
Vessel D,9000,17.4,1831.4,0.203,784.5,Rough,Green Fuel,1.88,101.28,190.25
Vessel C,4000,12.66,1995.4,0.499,3746.3,Calm,Fuel A,12.33,22.12,272.63
Vessel D,9000,18.15,6826.4,0.758,3360.8,Calm,Fuel B,7.72,105.72,815.77
Vessel C,4000,19.88,1754.2,0.439,1423.9,Moderate,Green Fuel,2.98,109.63,327.12
Vessel C,4000,12.55,1306.0,0.327,2505.5,Calm,Fuel B,8.32,21.66,180.19
Vessel C,4000,20.21,2999.6,0.75,3948.4,Calm,Fuel B,8.14,120.13,978.1
Vessel B,7000,19.27,1509.3,0.216,2153.5,Rough,Fuel A,4.66,117.45,546.9
Vessel D,9000,16.45,7091.9,0.788,345.2,Calm,Fuel A,0.87,84.65,73.99
Vessel B,7000,18.1,1433.2,0.205,669.2,Moderate,Fuel A,1.54,79.6,122.61
Vessel D,9000,9.52,4830.3,0.537,2736.9,Moderate,Fuel B,11.98,15.77,188.92
Vessel D,9000,8.88,6743.4,0.749,3864.7,Calm,Green Fuel,18.13,14.43,261.6
Vessel A,5000,20.09,4717.0,0.943,1017.5,Calm,Green Fuel,2.11,133.38,281.45
Vessel B,7000,19.54,1429.8,0.204,3525.5,Moderate,Fuel A,7.52,100.29,754.01
Vessel B,7000,17.03,6168.3,0.881,3182.8,Moderate,Green Fuel,7.79,108.18,842.48
Vessel C,4000,8.16,2581.8,0.645,2220.1,Moderate,Fuel A,11.33,7.56,85.72
Vessel D,9000,16.0,2280.6,0.253,2509.3,Calm,Fuel A,6.54,48.71,318.33
Vessel A,5000,15.76,2315.0,0.463,1615.6,Moderate,Green Fuel,4.27,59.24,253.02
Vessel A,5000,18.57,3594.8,0.719,2525.2,Moderate,Green Fuel,5.67,126.44,716.5
Vessel C,4000,21.2,3417.6,0.854,2640.8,Moderate,Fuel A,5.19,149.44,775.75
Vessel D,9000,12.77,5231.3,0.581,828.4,Calm,Fuel A,2.7,36.72,99.3
Vessel A,5000,19.93,3236.7,0.647,2397.3,Moderate,Fuel A,5.01,127.38,638.42
Vessel C,4000,9.66,3234.2,0.809,518.8,Rough,Fuel A,2.24,16.09,36.02
Vessel C,4000,9.58,2507.3,0.627,1651.4,Calm,Green Fuel,7.18,13.62,97.81
Vessel D,9000,19.31,4450.2,0.494,1523.3,Calm,Green Fuel,3.29,113.82,374.09
Vessel A,5000,8.3,3082.3,0.616,3415.3,Calm,Fuel B,17.14,8.52,145.96
Vessel A,5000,16.88,4938.6,0.988,3909.1,Calm,Fuel A,9.65,80.29,774.85
